ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
1136," In order to calculate the area, simply multiply the width _______ the length.", multiply A by B. 掛け算だけでなく、割り算も byを使う。 divide A by B,by,against,with,to
1137," Although I clearly remember _______ the key in my pocket this morning, it's not there now.", キーを入れたこと(そういう事実)を覚えている、という場合は、to+不定詞ではなく、動名詞を使う。,putting,to put,to have put,put
1138, I know what the work is like because I've done it _______., to myself と by myself だと、「他の誰にも手伝ってもらわずに自分だけでやった」と言いたいときに使う。for myself は自分のためにやった。単にmyself は「自分でやった」ということで、文意にそう。,myself,by myself,to myself,for myself
1139," Because a week has passed since he lost it, there's really _______ we can do about it now. ",  very little (that) we can do ... very little は先行詞なので、名詞。他に名詞になれるものはない。(little は名詞になれるそうです。),very little,not any,hardly,scarcely
1140," To make an omelet, you must _______ crack a few eggs into a mixing bowl.", primarily は「最初に」という日本語になるが、「主に」という意味なのでこういう場合は不適。,first,primarily,at the first,firsthand
1141, His story was sad enough to make a grown man _______., make+人+動詞の原型,cry,cries,crying,to cry
1142, We were separated during the war and haven't seen each other _______ 30 years.,,in,since,from,after
1143," Because she had _______, she was often mistaken for a movie star.",  hair は通常不可算名詞で集合的に扱われる。ただし、I found a hair in the soup. のように可算名詞として使われる場合もある。blond は、 blonde とspell されることがある。,beautiful blonde hair,a beautiful blonde hair,beautiful blonde hairs,some beautiful blonde hairs
1144," He's still breathing, but none of the doctors _______ that he will survive the night.", wishは願望を表す。であればいいのに、という感じ。ここで使うと、医者は、だれも、その晩もたなければいいのに、という意味になる。,expect,wish,doubt,admit
1145," We estimated it would take them at least an hour to arrive, but they made it _______ less than 30 minutes.",,in,for,with,during
1146, The government's _______ domestic policies are delaying the natural development of the economy., ここには、 domestic policies を修飾する形容詞が入る。 conserving は現在分詞なので、形容詞としての働きはあるが、意味が合わない。(ちゃんと辞書で調べること。)他は名詞。,conservative,conservatory,conserving,conservation
1147, A drive-by shooting occurred near my hotel during _______ in New York., during なので、名詞を選ぶこと。 drive-by shooting は、走っている車から発砲する犯罪行為のこと。,my stay,I stayed,staying,I was staying
1148, Our seats are here and _______ are over there., theirs は、 their seats のこと。,theirs,their,they're,there's
1149, The talk at the office is _______ Mr. Ueda will be retiring soon., 接続詞がはいる。about の場合はその後ろが名詞または、名詞句でないといけない。,that,of,about,over
1150," The _______ time I have, the more work seems to come in."," the+ 比較級, the+比較級。timeはここでは不可算名詞なので、fewer は不可。 lesser も不可。(lesser は価値、重要性がより劣った、という場合に使う。)",less,fewer,little,lesser
1151," The streets were wet when we left the theater, so it must _______ while we were inside.", must have +過去分詞。?したに違いない。,have rained,rained,had rained,be rain
1152, Every day she drops the kids _______ at school on her way to work., 子供を降ろす、の意味の、 drop off? 他は、すべて、立ち寄る、みたいな意味。,off,in,by,over
1153, Please note that this license expires _______ your next birthday., at は特定の時間や、ある時期の初めとか終わりのときに使う。 in は周、月、年といった長い単位のときに使う。　until は、までずっと、という継続している感じ。,on,in,at,until
1154," The boss pointed out that I'd been late for work a few times, and asked _______ I get to work by 8:30 a.m. in the future.", 今後は8:30に仕事にかかるように求めた。that 以外だと、askは依頼ではなく、疑問(尋ねる)の意味になる。,that,whether,if,when
